item_id,user_id,collection_name,name,category,year,condition,value,description
d2bfa0bb-c179-47f7-a451-68180c3d8b3e,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Pikachu Illustrator,Cards,1963,Near Mint,500000,A rare Pikachu Illustrator from the Rare Pokémon Cards collection.
a7c58fcb-8da1-435b-8490-4f4f4f1846d6,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Charizard 1st Edition Shadowless,Cards,2002,Near Mint,350000,A rare Charizard 1st Edition Shadowless from the Rare Pokémon Cards collection.
9f04267f-9715-4f6f-ae6f-bd5cb31c5789,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Blastoise Galaxy Star Holo,Cards,2001,Mint,310000,A rare Blastoise Galaxy Star Holo from the Rare Pokémon Cards collection.
fe8021be-f4e8-4661-b42b-9b8644e2b54e,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Kangaskhan Parent/Child Promo,Cards,1952,Near Mint,150000,A rare Kangaskhan Parent/Child Promo from the Rare Pokémon Cards collection.
acead719-2fbf-406b-8b2a-fce44d4f2b7b,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Lugia Neo Genesis 1st Edition,Cards,2018,Worn,129000,A rare Lugia Neo Genesis 1st Edition from the Rare Pokémon Cards collection.
7930bc80-02f4-4c26-9427-16c2a68dd151,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Rayquaza Gold Star,Cards,1965,Near Mint,45000,A rare Rayquaza Gold Star from the Rare Pokémon Cards collection.
2ad4c0ff-4269-4584-81ce-977b8ab8e62c,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Mewtwo 1st Edition Holo,Cards,1960,Used,30000,A rare Mewtwo 1st Edition Holo from the Rare Pokémon Cards collection.
bec88b07-157b-4c6d-a5b7-62878cc413a0,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Shining Charizard,Cards,1952,Used,25000,A rare Shining Charizard from the Rare Pokémon Cards collection.
f83186eb-0d33-4c22-9872-2ae097a36ab5,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Tropical Wind Promo,Cards,2019,Near Mint,20000,A rare Tropical Wind Promo from the Rare Pokémon Cards collection.
c1d51553-bd28-4094-a3c7-47a17f8c3776,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Espeon Gold Star,Cards,2015,Near Mint,15000,A rare Espeon Gold Star from the Rare Pokémon Cards collection.
8e469583-7aa1-46d4-a3ea-2fa3f27d7f29,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Gengar Fossil Holo,Cards,1994,Used,14000,A rare Gengar Fossil Holo from the Rare Pokémon Cards collection.
3b587ff1-43a9-461b-ab2a-79047595ec94,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Umbreon Gold Star,Cards,2001,Worn,13500,A rare Umbreon Gold Star from the Rare Pokémon Cards collection.
14a7a87c-028f-42e1-a5bc-5c4f510d98f1,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Magikarp Tamamushi University,Cards,1961,Used,13000,A rare Magikarp Tamamushi University from the Rare Pokémon Cards collection.
69185679-8697-47bd-bbe9-2316dc86efaa,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,No Rarity Symbol Venusaur,Cards,1987,Mint,12500,A rare No Rarity Symbol Venusaur from the Rare Pokémon Cards collection.
f534ed93-1183-4fdc-bcb0-2d45d7931ee9,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Gold Star Torchic,Cards,2014,Near Mint,12000,A rare Gold Star Torchic from the Rare Pokémon Cards collection.
